Salt Type,Brand,PPM
Refined,Sri Pavi,0.0
Crystal,Apple,0.0
Crystal,Samuthra,0.0
Refined,Tru,43.4
Refined,Sun,14.8
Refined,Surya,24.3
Refined,Kristal,28.6
Refined,Surya,31.7
Refined,Surya,25.4
Refined,Tata,29.6
Refined,Aashirvad,47.6
Crystal,Tata,33.9
Refined,Patanjali,29.6
Crystal,Sakthi Gold,30.7
Refined,Annapoorna,31.7
Crystal,Tata,27.5
Crystal,New Escee,44.4
Crystal,Tru,20.1
Refined,Marvel,52.9
Crystal,Sakthi Gold,0.0
Refined,Tru,24.3
Crystal,Tata,25.4
Refined,Aashirvad,38.1
Refined,Tata,34.9
Crystal,Tata,27.5
Refined,Aashirvad,39.1
Refined,David,31.7
Refined,Escee,32.8
Crystal,Sea Gold,31.7
Refined,Kristal,30.7
Crystal,Anil,50.8
Crystal,Sea Gold,37.0
Crystal,Anil,56.1
Refined,Susee,38.1
Refined,Tata,38.1
Crystal,Annapurna,37.0
Refined,Sprinkle,55.0
Refined,Kristal,32.8
Crystal,VKS Adithya,37.0
Refined,Kayathri,23.3
Crystal,Amman,0.0
Powder,Rishi,0.0
Powder,Maina,18.0
Crystal,Arun,6.3
Refined,Anil,41.3
Crystal,Sudha,7.4
Crystal,Sudha,59.2
Crystal,Samy,45.5
Crystal,Tru,36.0
Crystal,Sprinkle,67.7
Crystal,Idhayam,0.0
Powder,NCS,21.2
Refined,Anna,42.3
Crystal,Maina,23.3
Crystal,Anil,39.1
Refined,VKS True,55.0
Refined,Sprinkle,38.1
Crystal,VKS True,29.6
Crystal,Sea Gold,32.8
Refined,New Escee,37.0
Crystal,Annapoorani,14.8
Refined,Tata,39.1
Refined,Aashirvad,49.7
Crystal,Super Star,12.7
Refined,Rajan Annalakshmi,32.8
Crystal,Yard,0.0
Refined,I Shakthi,33.9
Refined,Sea Sun,36.0
Refined,Anil,25.4
Crystal,Sprinkle,45.5
Refined,I Shakthi,20.1
Crystal,Samuthra,0.0
Refined,Anil,26.5
Crystal,Xcell,0.0
Refined,Susee,30.7
Refined,Ganga,47.6
Crystal,Anna,13.8
Refined,Aashirvad,41.3
Crystal,Maina,23.3
Crystal,Ammu,12.7
Powder,Kayathri,24.3
Refined,Tata,26.5
Crystal,Tata,25.4
Crystal,Anil,42.3
Crystal,Ganesh,0.0
Crystal,VKS Adithya,45.5
Crystal,Tru,23.3
Refined,Tru,37.0
Refined,My Happy,74.1
Refined,Sprinkle,46.6
Refined,Anna,13.8
Crystal,Kristal,44.4
Refined,Sea Gold,14.8
Crystal,Arun,92.0
Refined,Aashirvad,56.1
Crystal,Selvapurna,13.8
Refined,Tata,42.3
Refined,Sakthi,34.9
Refined,VKS Adithya,23.3
Crystal,Tata,12.7
Refined,Escee,22.2
Crystal,VKS Adithya,16.9
Refined,Kristal,33.9
Refined,Brinjal,24.3
Crystal,Healthy Cook,37.0
Crystal,Sachu,9.5
Refined,I Sakthi,23.3
Crystal,Chakra Pure,34.9
Refined,Sprinkle,41.3
Crystal,Tata,21.2
Crystal,Samudra,30.7
Refined,Samudra,30.7
Refined,Aashirvad,37.0
Refined,Escee,32.8
Refined,Anil,24.3
Refined,Sprinkle,22.2
Refined,Annapurna,39.1
Crystal,Malar,13.8
Crystal,Tata,26.5
Crystal,Sea,19.0
Crystal,Diamond,37.0
Refined,New VVD ,20.1
Refined,Tata,23.3
Refined,I Flo,24.3
Crystal,Ayngaran,16.9
Refined,Sun,40.2
Refined,O Fresh,26.5
Refined,Kristal,30.7
Crystal,Velavan,19.0
Crystal,Ayngaran,0.0
Crystal,KTM,24.3
Refined,I Flo,44.4
Powder,Kayathri,54.0
Refined,O Fresh,31.7
Crystal,O Fresh,24.3
Refined,Tata,33.9
Powder,Ganga,32.8
Crystal,Subha,41.3
Powder,Sun,43.4
Crystal,Sakthy,11.6
Crystal,Sakthy Gold,39.1
Refined,Kristal,41.3
Refined,Sarguna,25.4
Crystal,Ayngaran,11.6
Refined,KLP,32.8
Crystal,Ayngaran,0.0
Refined,Kristal,30.7
Refined,Aashirvad,45.5
Refined,Sun Pure,38.1
Crystal,Sakthi,8.5
Refined,Anil,31.7
Refined,Sun Pure,45.5
Crystal,Sakthi,40.2
Crystal,Sakthi,49.7
Refined,Aashirvad,37.0
Refined,Sprinkle,0.0
Crystal,Narmatha,26.5
Refined,VKS Fresh,18.0
Refined,Escee,16.9
Refined,Trust,52.9
Crystal,Narmatha,5.3
Refined,Aashirvad,64.5
Refined,Sri Murugan,14.8
Crystal,Selvi,0.0
Crystal,Surya,23.3
Refined,Tata,38.1
Crystal,AR Sakthi,10.6
Refined,Patanjali,28.6
Refined,I Shakthi,38.1
Crystal,Gayal,14.8
Crystal,Brinjal,8.5
Refined,Trust,28.6
Crystal,Samudhara,14.8
Crystal,Shubha,48.7
Powder,Thambu,0.0
Crystal,Jehova,6.3
Refined,I Shakthi,32.8
Crystal,Shubha,60.3
Refined,Tata,39.1
Refined,Tata,36.0
Refined,Tata,39.1
Crystal,Shubha,21.2
Refined,Ayngaran,27.5
Refined,Jeevan,49.7
Refined,Kristal,30.7
Crystal,ACE,33.9
Refined,Piriyam,0.0
Refined,Anil,31.7
Refined,Annapurna,19.0
Refined,Tata,29.6
Refined,Diamond,38.1
Refined,New VVD ,40.2
Refined,Shanmuga,58.2
Refined,David,36.0
Refined,Tata,19.0
Refined,Escee,34.9
Refined,Diamond,40.2
Crystal,Selvi,10.6
Crystal,Tata,29.6
Crystal,Tiru,0.0
Refined,Day,33.9
Refined,Roja,0.0
Crystal,Tata,44.4
Refined,Kristal,28.6
Refined,Tata,33.9
Crystal,King,32.8
Powder,Best,29.6
Refined,VKS Tru,22.2
Refined,Kristal,28.6
Refined,Priyam,34.9
Refined,Saravana,31.7
Crystal,VKS Tru,26.5
Refined,Tata,22.2
Crystal,Udhaiyan,36.0
Refined,VKS Tru,26.5
Refined,Udhaiyan,32.8
Crystal,Annapurna,39.1
Crystal,Rex,29.6
Refined,Flow,39.1
Crystal,Flow,28.6
Refined,Flow,58.2
Crystal,Tru,45.5
Refined,Escee,44.4
Crystal,Aripoorna,37.0
Refined,Tata,14.8
Crystal,Priya,33.9
Refined,Tata,14.8
Crystal,Kristal,49.7
Refined,Aashirvad,48.7
Crystal,Diamond,15.9
Refined,Tata,44.4
Refined,Kristal,47.6
Powder,Diamond,43.4
Crystal,Kristal,34.9
Refined,Aashirvad,28.6
Crystal,Day Premium,7.4
Powder,Mahilchi,24.3
Refined,Tata,36.0
Refined,Kristal,46.6
Refined,My Happy,30.7
Crystal,Kasthuri,13.8
Refined,New Escee,58.2
Refined,I Shakthi,30.7
Crystal,Kasthuri,0.0
Crystal,Kasthuri,16.9
Crystal,Kasthuri,12.7
Refined,Famous,19.0
Crystal,Kasthuri,0.0
Powder,Mahilchi,21.2
Refined,Ganga,34.9
Powder,Mahilchi,0.0
Crystal,Sprinkle,45.5
Refined,Annapoorna,24.3
Refined,Kristal,26.5
Crystal,Muthu,0.0
Refined,Anantha Poorna,13.8
Refined,Annapoorna,26.5
Crystal,Anwar,0.0
Refined,Tata,39.1
Refined,Grace Fine,41.3
Refined,O Fresh,33.9
Crystal,Orange,0.0
Refined,O Fresh,34.9
Refined,Ganga,39.1
Powder,Tr,50.8
Crystal,Tata,27.5
Refined,Day Premium,36.0
Refined,Kristal,30.7
Crystal,Grace,52.9
Refined,Sprinkle,47.6
Refined,Sprinkle,69.8
Refined,IE Sakthi,38.1
Refined,VKS True,33.9
Refined,Ganga,23.3
Crystal,Poorna,16.9
Powder,Mazhilchi,14.8
Refined,Ganga,23.3
Refined,Ganga,31.7
Crystal,Rem,0.0
Refined,Ganga,30.7
Crystal,PAP,0.0
Refined,Kristal,36.0
Refined,VKS Fresh,31.7
Refined,Kristal,32.8
Crystal,Kasthuri,4.2
Crystal,I Flo,41.3
Crystal,Brinjal,22.2
Refined,Surya,36.0
Crystal,Annalakshmi,28.6
Refined,Sprinkle,37.0
Refined,Tata,36.0
Refined,Saravana,28.6
Refined,Sprinkle,45.5
Crystal,Surya,38.1
Crystal,Risi,0.1
Crystal,Fresh,38.1
Refined,Tata,39.1
Crystal,Season,22.2
Refined,Sea Sun,22.2
Crystal,Susee,21.2
Crystal,Sea Sun,19.0
Refined,Saravana,23.3
Crystal,Iswarya,25.4
Crystal,Sakthi,0.0
Refined,Tata,37.0
Refined,Priyam,32.8
Crystal,Star,18.0
Refined,Anandha Purani,39.1
Refined,Tasty,30.7
Crystal,Star,9.5
Refined,Sudha Gold,30.7
Refined,Sea Gold,27.5
Crystal,IFC,43.4
Refined,Aashirvad,65.6
Crystal,Super Star,80.4
