Year ,District,PPM
2018,Coimbatore,48.7
2018,Coimbatore,26.5
2018,Coimbatore,52.9
2018,Coimbatore,22.2
2018,Coimbatore,23.3
2018,Coimbatore,49.7
2018,Coimbatore,0.0
2018,Coimbatore,0.0
2018,Coimbatore,16.9
2018,Coimbatore,28.6
2018,Coimbatore,26.5
2018,Coimbatore,45.5
2018,Coimbatore,54.0
2018,Dindigul,36.0
2018,Dindigul,10.6
2018,Dindigul,0.0
2018,Dindigul,14.8
2018,Dindigul,7.4
2018,Dindigul,0.0
2018,Dindigul,20.1
2018,Dindigul,0.0
2018,Dindigul,10.6
2018,Dindigul,62.4
2018,Dindigul,0.0
2018,Dindigul,26.5
2018,Dindigul,0.0
2018,Dindigul,26.5
2018,Dindigul,48.7
2018,Dindigul,23.3
2018,Dindigul,36.0
2018,Dindigul,40.2
2018,Dindigul,13.8
2018,Dindigul,15.9
2018,Dindigul,38.1
2018,Dindigul,0.0
2018,Dindigul,0.0
2018,Dindigul,8.5
2018,Dindigul,46.6
2018,Dindigul,0.0
2018,Dindigul,39.1
2018,Dindigul,40.2
2018,Dindigul,42.3
2018,Dindigul,10.6
2018,Dindigul,39.1
2018,Dindigul,31.7
2018,Dindigul,29.6
2018,Dindigul,31.7
2018,Dindigul,42.3
2018,Dindigul,36.0
2018,Dindigul,20.1
2018,Dindigul,36.0
2018,Dindigul,44.4
2018,Dindigul,26.5
2018,Dindigul,26.5
2018,Dindigul,27.5
2018,Dindigul,9.5
2018,Dindigul,30.7
2018,Dindigul,25.4
2018,Dindigul,12.7
2018,Dindigul,45.5
2018,Dindigul,0.0
2018,Dindigul,34.9
2018,Dindigul,10.6
2018,Dindigul,8.5
2018,Dindigul,20.1
2018,Dindigul,32.8
2018,Dindigul,0.0
2018,Dindigul,48.7
2018,Dindigul,21.2
2018,Dindigul,55.0
2018,Dindigul,40.2
2018,Dindigul,11.6
2018,Dindigul,33.9
2018,Dindigul,0.0
2018,Dindigul,71.9
2018,Erode,28.6
2018,Erode,0.0
2018,Erode,37.0
2018,Erode,16.9
2018,Erode,33.9
2018,Erode,20.1
2018,Erode,9.5
2018,Erode,44.4
2018,Erode,37.0
2018,Erode,26.5
2018,Erode,24.3
2018,Erode,40.2
2018,Erode,23.3
2018,Erode,37.0
2018,Erode,9.5
2018,Erode,37.0
2018,Erode,5.3
2018,Erode,4.2
2018,Erode,0.0
2018,Erode,0.0
2018,Erode,29.6
2018,Erode,28.6
2018,Erode,0.0
2018,Erode,5.3
2018,Erode,38.1
2018,Erode,32.8
2018,Erode,32.8
2018,Erode,26.5
2018,Erode,9.5
2018,Erode,37.0
2018,Erode,34.9
2018,Erode,11.6
2018,Erode,36.0
2018,Erode,0.0
2018,Erode,18.0
2018,Erode,18.0
2018,Erode,0.0
2018,Erode,12.7
2018,Erode,0.0
2018,Erode,0.0
2018,Erode,37.0
2018,Erode,11.6
2018,Erode,21.2
2018,Erode,27.5
2018,Erode,27.5
2018,Erode,13.8
2018,Erode,7.4
2018,Erode,0.0
2018,Erode,15.9
2018,Erode,38.1
2018,Erode,56.1
2018,Erode,16.9
2018,Erode,30.7
2018,Kanchipuram,22.2
2018,Kanchipuram,22.2
2018,Kanchipuram,33.9
2018,Kanchipuram,28.6
2018,Kanchipuram,28.6
2018,Kanchipuram,49.7
2018,Kanchipuram,12.7
2018,Kanchipuram,14.8
2018,Kanchipuram,62.4
2018,Kanchipuram,37.0
2018,Kanchipuram,20.1
2018,Kanchipuram,33.9
2018,Kanchipuram,47.6
2018,Kanchipuram,27.5
2018,Kanchipuram,36.0
2018,Kanchipuram,29.6
2018,Kanchipuram,21.2
2018,Kanchipuram,42.3
2018,Kanchipuram,13.8
2018,Kanchipuram,36.0
2018,Kanchipuram,16.9
2018,Kanchipuram,19.0
2018,Kanchipuram,33.9
2018,Kanchipuram,32.8
2018,Kanchipuram,40.2
2018,Kanchipuram,29.6
2018,Kaniyakumari,0.0
2018,Kaniyakumari,29.6
2018,Kaniyakumari,24.3
2018,Kaniyakumari,14.8
2018,Kaniyakumari,30.7
2018,Kaniyakumari,48.7
2018,Kaniyakumari,10.6
2018,Kaniyakumari,42.3
2018,Kaniyakumari,28.6
2018,Kaniyakumari,51.8
2018,Kaniyakumari,14.8
2018,Kaniyakumari,6.3
2018,Kaniyakumari,29.6
